"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Gambia, The","GMB",159776383,0.614597109357222,1,29,2,5,1,2,1,1,0,1,1,1,2,,2,1,2,,,,2,,2,,1,,,,,,,,,,2,1,2,2,2,2,,,,,2,,,2,2,1,1,1,,1,2,,1,2,2,2,2,1,1,1,2,,,,1,2,2,1,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,1,4,4,4,2,2,1,1,1,1
"Gambia, The","GMB",121530956,1.71256760248296,2,49,4,3,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,1,1,1,,,,,,,,,,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,1,1,1,2,,,,1,2,2,1,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,2,3,,0,1,2,4,4,4,2,2,1,1,0,0
"Gambia, The","GMB",162963045,0.457501071203679,1,41,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,5,5,5,,4,,0,0,4,4,4,4,4,5,1,2,0,0
"Gambia, The","GMB",182712977,0.927649417280233,1,50,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,1,2,,,,2,2,,1,1,2,1,2,2,2,2,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,4,3,1,1,0,0
"Gambia, The","GMB",125060809,2.23944022592393,2,24,1,2,1,2,1,1,1,1,1,2,,,1,1,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,,,,1,1,2,,2,1,2,,,,1,1,2,2,2,2,1,,4,2,2,1,1,,,1,1,,,1,2,1,2,,,2,,,,,,,2,2,,,,,1,1,2,1,,,2,1,1,1,4,2,,1,1,4,4,4,1,1,1,1,1,1,1
"Gambia, The","GMB",122895826,0.902242423226603,1,27,1,4,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,3,2,1,2,1,2,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",151270235,0.221449264894415,1,35,1,2,1,2,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,1,2,1,1,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,1,1,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,1,1,1,1,1,0
"Gambia, The","GMB",135504659,2.29728714896958,2,65,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,3,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,2,3,1,,0,1,4,4,4,2,4,5,1,2,0,0
"Gambia, The","GMB",206609961,0.445630527329469,1,32,2,2,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,1,,,,,,,,,,2,3,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,1,2,1,2,1,2,1,2,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,4,4,4,4,2,1,1,1,1,0
"Gambia, The","GMB",193880569,0.53231129832865,1,18,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,,,,,2,,,1,2,2,,,,2,2,,2,1,2,2,,3,1,4,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,3,1,,0,1,4,4,4,2,4,5,1,2,0,0
"Gambia, The","GMB",121786170,0.185539238362971,1,37,2,5,2,2,1,1,0,1,2,2,,,2,2,2,,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,2,1,1,2,2,1,3,1,1,2,,,,2,,,,2,,,,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,1,4,4,4,4,5,1,1,1,0
"Gambia, The","GMB",167357652,0.657290542073228,1,20,2,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,1,2,2,1,2,1,2,1,1,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,4,1,,0,1,4,3,4,4,2,5,1,1,0,0
"Gambia, The","GMB",157385846,0.330024086942525,2,18,2,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,3,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Gambia, The","GMB",209559135,1.5866268847321,1,23,2,3,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,1,2,,2,,,,,,,,,,1,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,1,,1,1,1,2,2,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,2,2,,2,2,,,,,1,1,2,2,1,,1,1,1,1,3,1,,1,1,3,4,4,2,2,5,1,2,0,0
