hh_id,survey_year,data_source,rural,agent_time_min,settlement
3828,2019,FinScope,0,210.0,23401
3852,2019,FinScope,0,45.5,23401
3877,2019,FinScope,0,,23401
3912,2019,FinScope,0,45.5,23401
3923,2019,FinScope,0,25.5,23401
3952,2019,FinScope,0,,23401
3975,2019,FinScope,0,,23401
4002,2019,FinScope,0,,23401
4025,2019,FinScope,0,15.0,23401
4050,2019,FinScope,0,,23401
4078,2019,FinScope,0,,23401
4100,2019,FinScope,0,90.0,23401
4124,2019,FinScope,0,,23401
4149,2019,FinScope,0,45.5,23401
4173,2019,FinScope,0,90.0,23401
4203,2019,FinScope,0,,23401
4227,2019,FinScope,0,,23401
4254,2019,FinScope,0,,23401
4274,2019,FinScope,0,45.5,23401
4304,2019,FinScope,0,25.5,23401
4323,2019,FinScope,0,,23401
4359,2019,FinScope,0,45.5,23401
4375,2019,FinScope,0,,23401
4402,2019,FinScope,0,,23401
4427,2019,FinScope,0,15.0,23401
4448,2019,FinScope,0,,23401
4454,2019,FinScope,0,,23401
4478,2019,FinScope,0,,23401
4503,2019,FinScope,0,5.0,23401
4525,2019,FinScope,0,,23401
4549,2019,FinScope,0,45.5,23401
4574,2019,FinScope,0,15.0,23401
4600,2019,FinScope,0,,24101
4625,2019,FinScope,0,15.0,24101
4654,2019,FinScope,0,15.0,24101
4678,2019,FinScope,0,,24101
4716,2019,FinScope,0,,24101
4725,2019,FinScope,0,25.5,24101
4749,2019,FinScope,0,5.0,24101
4775,2019,FinScope,0,15.0,24101
4799,2019,FinScope,0,5.0,24101
4828,2019,FinScope,0,,24101
4854,2019,FinScope,0,,24101
4877,2019,FinScope,0,,24101
4899,2019,FinScope,0,5.0,24101
4925,2019,FinScope,0,5.0,24101
4949,2019,FinScope,0,,24101
4975,2019,FinScope,0,,24101
5002,2019,FinScope,0,,24101
5028,2019,FinScope,0,5.0,24101
5053,2019,FinScope,0,,24101
5075,2019,FinScope,0,,24101
5106,2019,FinScope,0,5.0,24101
5124,2019,FinScope,0,,24101
5149,2019,FinScope,0,5.0,24101
5180,2019,FinScope,1,,24101
5199,2019,FinScope,0,,24201
5225,2019,FinScope,0,,24201
5249,2019,FinScope,0,,24201
5276,2019,FinScope,0,5.0,24201
5300,2019,FinScope,0,,24201
5324,2019,FinScope,0,5.0,24201
5350,2019,FinScope,0,,24201
5374,2019,FinScope,0,5.0,24201
5405,2019,FinScope,0,25.5,24201
5426,2019,FinScope,0,45.5,24201
5450,2019,FinScope,0,,24201
5479,2019,FinScope,0,25.5,24201
5509,2019,FinScope,0,5.0,24201
5527,2019,FinScope,0,5.0,24201
5549,2019,FinScope,0,25.5,24201
5574,2019,FinScope,0,,24201
5600,2019,FinScope,0,,24202
5626,2019,FinScope,0,,24202
5650,2019,FinScope,0,5.0,24202
5676,2019,FinScope,0,25.5,24202
5706,2019,FinScope,0,,24202
5724,2019,FinScope,0,5.0,24202
5749,2019,FinScope,0,25.5,24202
5777,2019,FinScope,0,5.0,24202
5803,2019,FinScope,0,25.5,24301
5824,2019,FinScope,0,,24301
5851,2019,FinScope,0,25.5,24301
5878,2019,FinScope,0,25.5,24301
5919,2019,FinScope,0,,24301
5924,2019,FinScope,0,25.5,24301
5950,2019,FinScope,0,,24301
5975,2019,FinScope,0,25.5,24301
6000,2019,FinScope,0,,24302
6027,2019,FinScope,0,,24302
6056,2019,FinScope,0,5.0,24302
6076,2019,FinScope,0,15.0,24302
6099,2019,FinScope,0,,24302
6124,2019,FinScope,0,,24302
6149,2019,FinScope,0,15.0,24302
6176,2019,FinScope,0,15.0,24302
